Company,ProjectName,JobTitle,Languages,IDE,Platforms,Description,DB,TypeOfJob,Date
Pakistan,Master’s degree,Data Analyst,Python;R;SQL;Javascript,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;Visual Studio;Visual Studio Code (VSCode);Spyder;Notepad++",Scikit-learn;TensorFlow;Keras;Xgboost;CatBoost,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning",PostgresSQL,Professional,29 may 2022
Other,Doctoral degree,Machine Learning Engineer,Python;Javascript,Visual Studio,TensorFlow;Keras,Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models,Not Specified,Professional,30 may 2022
Indonesia,Master’s degree,Data Scientist,Python;R;SQL;Java,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;Visual Studio",TensorFlow,Analyze and understand data to influence product or business decisions;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models,Not Specified,Professional,31 may 2022
India,Bachelor’s degree,Data Scientist,Python;C;C++,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Spyder",Scikit-learn;Keras;Xgboost,Analyze and understand data to influence product or business decisions,MySQL,Professional,1 jun 2022
Indonesia,Doctoral degree,Data Analyst,C++,MATLAB,JAX,Analyze and understand data to influence product or business decisions,Not Specified,Professional,2 jun 2022
Tunisia,Master’s degree,Data Scientist,Python,Visual Studio Code (VSCode),Scikit-learn;TensorFlow;Keras,,Not Specified,Professional,3 jun 2022
Ukraine,Master’s degree,Data Scientist,Python;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode);Sublime Text",Scikit-learn;Keras;Xgboost;LightGBM,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models",Not Specified,Professional,4 jun 2022
Belgium,Master’s degree,Data Analyst,None,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",,,Not Specified,Professional,5 jun 2022
United States of America,Master’s degree,Software Engineer,Python;SQL;C;C++;Bash,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode);Vim / Emacs",,Do research that advances the state of the art of machine learning,Not Specified,Professional,6 jun 2022
Pakistan,Bachelor’s degree,Software Engineer,C++;Javascript,Visual Studio Code (VSCode),,,Not Specified,Professional,7 jun 2022
Taiwan,Master’s degree,Software Engineer,Python;SQL;C,Visual Studio;Spyder;Notepad++,Keras,Build prototypes to explore applying machine learning to new areas,PostgresSQL,Professional,8 jun 2022
United States of America,Doctoral degree,Data Analyst,Python;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Notepad++",Scikit-learn;TensorFlow;Keras;Xgboost;Prophet,Analyze and understand data to influence product or business decisions;Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models,Microsoft SQL Server,Professional,9 jun 2022
India,Bachelor’s degree,Machine Learning Engineer,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode)",TensorFlow;PyTorch;Fast.ai,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models",Not Specified,Professional,10 jun 2022
China,Some college/university study without earning a bachelor’s degree,Data Scientist,Python,Visual Studio Code (VSCode);PyCharm;Spyder,TensorFlow,,Not Specified,Professional,11 jun 2022
Italy,Doctoral degree,Research Scientist,Python;SQL;C,Notepad++,None,Experimentation and iteration to improve existing ML models,MySQL,Professional,12 jun 2022
India,Professional degree,Software Engineer,Python;Java,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;Visual Studio Code (VSCode);PyCharm",Scikit-learn;Keras;PyTorch,Build prototypes to explore applying machine learning to new areas;Do research that advances the state of the art of machine learning,PostgresSQL,Professional,13 jun 2022
United States of America,Master’s degree,Machine Learning Engineer,Python;R;SQL;Bash,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;Visual Studio Code (VSCode);PyCharm;Notepad++;Sublime Text;Vim / Emacs",,,Not Specified,Professional,14 jun 2022
Spain,Master’s degree,Software Engineer,R;SQL;Bash,Vim / Emacs,,,Not Specified,Professional,15 jun 2022
United Arab Emirates,Master’s degree,Research Scientist,Python;C++,"Jupyter (JupyterLab, Jupyter Notebooks, etc);PyCharm",TensorFlow;PyTorch,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning",Not Specified,Professional,16 jun 2022
India,Bachelor’s degree,Software Engineer,Python;SQL;Javascript,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode);Notepad++",,,Not Specified,Professional,17 jun 2022
Canada,Master’s degree,Data Scientist,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",Scikit-learn;Xgboost,Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models,Not Specified,Professional,18 jun 2022
India,Bachelor’s degree,Data Analyst,Python;SQL;C++;Javascript;MATLAB,Visual Studio Code (VSCode);Sublime Text;MATLAB,None,Build prototypes to explore applying machine learning to new areas,MySQL,Professional,19 jun 2022
Viet Nam,Master’s degree,Machine Learning Engineer,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode)",PyTorch,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Experimentation and iteration to improve existing ML models",Not Specified,Professional,20 jun 2022
Poland,Master’s degree,Machine Learning Engineer,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode);PyCharm",Scikit-learn;TensorFlow;PyTorch;Xgboost,,Not Specified,Professional,21 jun 2022
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Python,,None,Analyze and understand data to influence product or business decisions;Experimentation and iteration to improve existing ML models,MySQL,Professional,22 jun 2022
Egypt,Bachelor’s degree,Machine Learning Engineer,Python;C++,"Jupyter (JupyterLab, Jupyter Notebooks, etc);PyCharm;Spyder;MATLAB",TensorFlow;Keras,Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models,Google Cloud Firestore,Professional,23 jun 2022
India,Bachelor’s degree,Machine Learning Engineer,Python;C;C++;Java,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode);PyCharm;Spyder;Sublime Text",Scikit-learn;TensorFlow;Keras;PyTorch,,Not Specified,Professional,24 jun 2022
Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,Python;R,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio",Scikit-learn;PyTorch;Xgboost;Tidymodels,Analyze and understand data to influence product or business decisions,Amazon DynamoDB,Professional,25 jun 2022
Egypt,Master’s degree,Data Scientist,Python;R;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;PyCharm;Spyder;Notepad++;Sublime Text",Scikit-learn;TensorFlow;Keras;PyTorch,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning",Not Specified,Professional,26 jun 2022
Other,Master’s degree,Data Analyst,Python;MATLAB,PyCharm,,,Not Specified,Professional,27 jun 2022
United States of America,Master’s degree,Data Scientist,Python;R;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;Notepad++",Scikit-learn,Analyze and understand data to influence product or business decisions;Experimentation and iteration to improve existing ML models,MySQL,Professional,28 jun 2022
United States of America,Doctoral degree,Data Scientist,Python;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc);PyCharm",Scikit-learn;TensorFlow;Keras,Analyze and understand data to influence product or business decisions;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models,Not Specified,Professional,29 jun 2022
India,Bachelor’s degree,Machine Learning Engineer,Python;C;C++;Swift,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",TensorFlow;Keras,,Not Specified,Professional,30 jun 2022
Poland,Master’s degree,Software Engineer,Python,PyCharm;Notepad++,Scikit-learn,None of these activities are an important part of my role at work,Not Specified,Professional,1 jul 2022
United States of America,Master’s degree,Machine Learning Engineer,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",Scikit-learn;TensorFlow;Keras;PyTorch;Xgboost,Experimentation and iteration to improve existing ML models,Not Specified,Professional,2 jul 2022
Other,Doctoral degree,Research Scientist,Python;R;SQL;Java,RStudio;Visual Studio;Visual Studio Code (VSCode);Sublime Text,Scikit-learn;TensorFlow;Keras;PyTorch;Xgboost;LightGBM;H2O 3;Caret,Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning,Not Specified,Professional,3 jul 2022
Netherlands,Master’s degree,Machine Learning Engineer,Python;C++;MATLAB,PyCharm;Notepad++;Sublime Text;MATLAB,TensorFlow;Keras;PyTorch;Xgboost,Do research that advances the state of the art of machine learning,MongoDB,Professional,4 jul 2022
Canada,Master’s degree,Data Scientist,Python;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",Scikit-learn;Prophet,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows",Microsoft SQL Server,Professional,5 jul 2022
Nigeria,Bachelor’s degree,Software Engineer,Python;SQL;Java;Javascript;Julia,Visual Studio Code (VSCode);PyCharm,Scikit-learn;TensorFlow;PyTorch;Fast.ai;Xgboost,None of these activities are an important part of my role at work,MySQL,Professional,6 jul 2022
Other,Master’s degree,Product/Project Manager,Python;MATLAB,PyCharm;MATLAB,Scikit-learn;TensorFlow;Keras,Analyze and understand data to influence product or business decisions,Not Specified,Professional,7 jul 2022
Philippines,Bachelor’s degree,Data Analyst,SQL,,,,Not Specified,Professional,8 jul 2022
France,Master’s degree,Research Scientist,Python;R,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;Spyder",Scikit-learn;Keras;PyTorch,Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning,Not Specified,Professional,9 jul 2022
China,Bachelor’s degree,Business Analyst,,,,,Not Specified,Professional,10 jul 2022
Netherlands,Master’s degree,Data Analyst,Python;SQL;C++;Swift;Bash,"Jupyter (JupyterLab, Jupyter Notebooks, etc);PyCharm",Scikit-learn;TensorFlow;Keras;Xgboost,Analyze and understand data to influence product or business decisions;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning,MongoDB,Professional,11 jul 2022
Morocco,Master’s degree,Data Scientist,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;Visual Studio;Visual Studio Code (VSCode);Spyder",Scikit-learn;TensorFlow;Keras;Xgboost;LightGBM;Prophet,Analyze and understand data to influence product or business decisions;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning,Not Specified,Professional,12 jul 2022
Other,Master’s degree,Business Analyst,R,RStudio,H2O 3,Analyze and understand data to influence product or business decisions;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models,Not Specified,Professional,13 jul 2022
Germany,Master’s degree,Data Scientist,Python;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",Scikit-learn,Analyze and understand data to influence product or business decisions;Build prototypes to explore applying machine learning to new areas;Do research that advances the state of the art of machine learning,Microsoft SQL Server,Professional,14 jul 2022
Egypt,I prefer not to answer,Machine Learning Engineer,,,,,Not Specified,Professional,15 jul 2022
Russia,Doctoral degree,Research Scientist,Python;SQL;MATLAB,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",Scikit-learn;TensorFlow;Keras;PyTorch;Fast.ai;Xgboost,Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning,Not Specified,Professional,16 jul 2022
Other,Master’s degree,Software Engineer,Python;R;SQL;C++;Java;Javascript;MATLAB,Visual Studio,TensorFlow,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning",Microsoft Access,Professional,17 jul 2022
Turkey,Bachelor’s degree,Data Scientist,Python;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc);PyCharm;Spyder",Scikit-learn;TensorFlow;Keras;PyTorch;Fast.ai;Xgboost;LightGBM;CatBoost,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Not Specified,Professional,18 jul 2022
Russia,Master’s degree,Software Engineer,Python;SQL;Bash,Visual Studio;PyCharm;Notepad++,TensorFlow;Keras;PyTorch;Xgboost,None of these activities are an important part of my role at work,Not Specified,Professional,19 jul 2022
United States of America,Bachelor’s degree,Data Analyst,Python;R;SQL,RStudio;Visual Studio;PyCharm;Notepad++,None,Analyze and understand data to influence product or business decisions,Not Specified,Professional,20 jul 2022
Spain,Some college/university study without earning a bachelor’s degree,Data Scientist,Python;R;SQL,RStudio;Notepad++,TensorFlow;Keras;Xgboost;LightGBM;CatBoost;Prophet;H2O 3;Caret;Tidymodels,Analyze and understand data to influence product or business decisions;Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models,Oracle Database,Professional,21 jul 2022
Spain,Doctoral degree,Data Scientist,Python;R,RStudio;Visual Studio Code (VSCode);Spyder,Scikit-learn;TensorFlow;Keras;Xgboost;H2O 3;Caret,,Not Specified,Professional,22 jul 2022
"Iran, Islamic Republic of...",Master’s degree,Data Scientist,Python;R;SQL;C;C++;Java;Javascript;MATLAB,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;Visual Studio;PyCharm;Sublime Text;MATLAB",Scikit-learn;TensorFlow;Keras;PyTorch,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning",MongoDB,Professional,23 jul 2022
Spain,Doctoral degree,Research Scientist,Python;SQL;C;C++;Java;Bash,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode);PyCharm",Scikit-learn;TensorFlow;Keras,Build prototypes to explore applying machine learning to new areas;Do research that advances the state of the art of machine learning,MongoDB,Professional,24 jul 2022
United States of America,Master’s degree,Data Analyst,R;SQL,RStudio,None,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Not Specified,Professional,25 jul 2022
United States of America,Master’s degree,Software Engineer,Python;R;SQL;C++;Javascript;Bash,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;PyCharm;Sublime Text;Vim / Emacs",Scikit-learn;TensorFlow;Keras;PyTorch;MXNet;Caret,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models",PostgresSQL,Professional,26 jul 2022
India,Bachelor’s degree,Data Scientist,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode);Sublime Text",Scikit-learn;Xgboost;H2O 3,Analyze and understand data to influence product or business decisions,Not Specified,Professional,27 jul 2022
India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Python;Javascript;MATLAB,Visual Studio,,,Not Specified,Professional,28 jul 2022
Other,Doctoral degree,Data Scientist,Python;SQL;Java;Bash;MATLAB,Vim / Emacs,Scikit-learn,Analyze and understand data to influence product or business decisions;Build prototypes to explore applying machine learning to new areas,Amazon Redshift,Professional,29 jul 2022
Tunisia,Professional degree,Research Scientist,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc);PyCharm",Scikit-learn;TensorFlow;Keras,Build prototypes to explore applying machine learning to new areas,Not Specified,Professional,30 jul 2022
India,Master’s degree,Data Scientist,,,,,Not Specified,Professional,31 jul 2022
Russia,Bachelor’s degree,Data Scientist,Python,Visual Studio Code (VSCode);PyCharm,Keras;PyTorch;Fast.ai,Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning,Not Specified,Professional,1 aug 2022
India,Bachelor’s degree,Statistician,Python;C++,None,,,Not Specified,Professional,2 aug 2022
India,Master’s degree,Data Scientist,Python;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",Scikit-learn;Xgboost;LightGBM,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models",Not Specified,Professional,3 aug 2022
India,Master’s degree,Data Scientist,Python;R;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio",Scikit-learn;Keras;PyTorch;Xgboost,Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning,Not Specified,Professional,4 aug 2022
United States of America,Doctoral degree,Data Scientist,Python;R;SQL;Bash,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Notepad++",,,Not Specified,Professional,5 aug 2022
India,Bachelor’s degree,Data Scientist,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",Scikit-learn;TensorFlow;Keras;Xgboost,,Not Specified,Professional,6 aug 2022
India,Bachelor’s degree,Product/Project Manager,Python;SQL;Java;Javascript,"Jupyter (JupyterLab, Jupyter Notebooks, etc);PyCharm;Notepad++",,,Not Specified,Professional,7 aug 2022
Nigeria,Some college/university study without earning a bachelor’s degree,Data Scientist,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode);Sublime Text",Scikit-learn,,Not Specified,Professional,8 aug 2017
Indonesia,Bachelor’s degree,Data Scientist,Python;Java;MATLAB,Spyder,Scikit-learn;TensorFlow,,Not Specified,Professional,9 aug 2017
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,Python;SQL;Java,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode);PyCharm;Spyder;Notepad++;Sublime Text",Scikit-learn;TensorFlow;Keras;PyTorch;Xgboost,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build and/or run a machine learning service that operationally improves my product or workflows;Do research that advances the state of the art of machine learning",Google Cloud BigQuery,Professional,10 aug 2017
India,Master’s degree,Data Scientist,Python;R;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;Notepad++",Scikit-learn;TensorFlow;Keras;PyTorch;Xgboost,None of these activities are an important part of my role at work,Not Specified,Professional,11 aug 2017
United States of America,Master’s degree,Software Engineer,Python;SQL;C++;Java,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode);PyCharm",,None of these activities are an important part of my role at work,SQLite,Professional,12 aug 2017
Japan,Master’s degree,Product/Project Manager,Python,PyCharm,PyTorch,None of these activities are an important part of my role at work,Not Specified,Professional,13 aug 2017
India,Bachelor’s degree,Data Engineer,SQL;C++,Notepad++,,None of these activities are an important part of my role at work,PostgresSQL,Professional,14 aug 2017
Saudi Arabia,Professional degree,Data Scientist,Python;R;SQL;C++;Java;Javascript,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",Scikit-learn;TensorFlow,,Not Specified,Professional,15 aug 2017
India,Bachelor’s degree,Machine Learning Engineer,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode)",Scikit-learn;TensorFlow;Keras;Xgboost;LightGBM;CatBoost,Analyze and understand data to influence product or business decisions;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models,PostgresSQL,Professional,16 aug 2017
United States of America,Master’s degree,Statistician,Python;R,RStudio;Visual Studio Code (VSCode);Notepad++,Caret,Analyze and understand data to influence product or business decisions,Not Specified,Professional,17 aug 2017
India,Bachelor’s degree,Software Engineer,Python;SQL;Javascript;Bash,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Visual Studio Code (VSCode);Sublime Text",None,None of these activities are an important part of my role at work,Not Specified,Professional,18 aug 2017
United States of America,Master’s degree,Data Scientist,Python;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio",Scikit-learn;TensorFlow,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows",Google Cloud BigQuery,Professional,19 aug 2017
United States of America,Bachelor’s degree,Data Analyst,,,,,Not Specified,Professional,20 aug 2017
India,Master’s degree,Data Scientist,Python;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",Scikit-learn;LightGBM,Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning,Google Cloud BigQuery,Professional,21 aug 2017
Brazil,Bachelor’s degree,Software Engineer,Python;R;C;Javascript,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;Visual Studio Code (VSCode);PyCharm",Scikit-learn;TensorFlow;Keras;PyTorch;Fast.ai,Analyze and understand data to influence product or business decisions;Build prototypes to explore applying machine learning to new areas,PostgresSQL,Professional,22 aug 2017
India,Bachelor’s degree,Data Engineer,Python;SQL;Java;Bash,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",TensorFlow;PyTorch,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",PostgresSQL,Professional,23 aug 2017
United States of America,Master’s degree,Statistician,Python;R;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio;PyCharm;Spyder",Scikit-learn;Caret;Tidymodels,"Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models;Do research that advances the state of the art of machine learning",SQLite,Professional,24 aug 2017
Japan,Master’s degree,Research Scientist,Python;C;C++;Java;Bash,Visual Studio,,,Not Specified,Professional,25 aug 2017
